Source,Target,Weight,Type
animals,beatles_pre,3,undirected
animals,rolling_stones_post,1,undirected
animals,yardbirds,2,undirected
beatles_post,rolling_stones_post,3,undirected
beatles_post,who,1,undirected
beatles_post,yardbirds,2,undirected
beatles_pre,animals,3,undirected
beatles_pre,cream,1,undirected
beatles_pre,kinks,4,undirected
beatles_pre,rolling_stones_post,3,undirected
beatles_pre,rolling_stones_pre,3,undirected
beatles_pre,smallfaces,2,undirected
beatles_pre,who,1,undirected
beatles_pre,yardbirds,3,undirected
beatles_pre,zombies,2,undirected
cream,beatles_pre,1,undirected
cream,rolling_stones_post,4,undirected
cream,yardbirds,2,undirected
kinks,beatles_pre,4,undirected
kinks,rolling_stones_post,5,undirected
kinks,who,3,undirected
rolling_stones_post,animals,1,undirected
rolling_stones_post,beatles_post,3,undirected
rolling_stones_post,beatles_pre,3,undirected
rolling_stones_post,cream,4,undirected
rolling_stones_post,kinks,5,undirected
rolling_stones_post,rolling_stones_pre,2,undirected
rolling_stones_post,smallfaces,3,undirected
rolling_stones_post,who,6,undirected
rolling_stones_post,yardbirds,3,undirected
rolling_stones_post,zombies,3,undirected
rolling_stones_pre,beatles_pre,3,undirected
rolling_stones_pre,rolling_stones_post,2,undirected
rolling_stones_pre,yardbirds,1,undirected
smallfaces,beatles_pre,2,undirected
smallfaces,rolling_stones_post,3,undirected
smallfaces,who,1,undirected
who,beatles_post,1,undirected
who,beatles_pre,1,undirected
who,kinks,3,undirected
who,rolling_stones_post,6,undirected
who,smallfaces,1,undirected
yardbirds,animals,2,undirected
yardbirds,beatles_post,2,undirected
yardbirds,beatles_pre,3,undirected
yardbirds,cream,2,undirected
yardbirds,rolling_stones_post,3,undirected
yardbirds,rolling_stones_pre,1,undirected
yardbirds,zombies,2,undirected
zombies,beatles_pre,2,undirected
zombies,rolling_stones_post,3,undirected
zombies,yardbirds,2,undirected
