"animals" "beatles_post" "beatles_pre" "cream" "kinks" "rolling_stones_post" "rolling_stones_pre" "smallfaces" "who" "yardbirds" "zombies"
"animals" 0 1.41942660027722 0.993403941966491 1.25561186894755 1.15291897345402 1.05569812129014 1.11795540154724 1.20886011103459 1.20358423336015 1.04633934361843 1.06331833943425
"beatles_post" 1.41942660027722 0 0.936055994983901 1.00951404186649 1.01041122202826 0.82177819716725 1.08219243592873 1.09427784478392 0.935489344682513 0.911983131764438 1.07092025560482
"beatles_pre" 0.993403941966491 0.936055994983901 0 0.715183450159587 0.614004593324019 0.529393710169048 0.652076393840512 0.734502952054411 0.664100097363249 0.622491173248524 0.635106654511689
"cream" 1.25561186894755 1.00951404186649 0.715183450159587 0 0.732853587385132 0.517013434157071 0.823818171069225 0.886257708499948 0.718616648090462 0.714129967022734 0.795406275834588
"kinks" 1.15291897345402 1.01041122202826 0.614004593324019 0.732853587385132 0 0.478947147946184 0.770546720037122 0.808001564867366 0.614860430551482 0.722760894801359 0.683795625161148
"rolling_stones_post" 1.05569812129014 0.82177819716725 0.529393710169048 0.517013434157071 0.478947147946184 0 0.717939189034927 0.719037875227967 0.429908966253008 0.525765293094193 0.538108147219541
"rolling_stones_pre" 1.11795540154724 1.08219243592873 0.652076393840512 0.823818171069225 0.770546720037122 0.717939189034927 0 0.896595404777553 0.790226608069496 0.747184366776683 0.874926212978189
"smallfaces" 1.20886011103459 1.09427784478392 0.734502952054411 0.886257708499948 0.808001564867366 0.719037875227967 0.896595404777553 0 0.742158006154873 0.801917886783915 0.790497693206522
"who" 1.20358423336015 0.935489344682513 0.664100097363249 0.718616648090462 0.614860430551482 0.429908966253008 0.790226608069496 0.742158006154873 0 0.70325819304683 0.71256387942056
"yardbirds" 1.04633934361843 0.911983131764438 0.622491173248524 0.714129967022734 0.722760894801359 0.525765293094193 0.747184366776683 0.801917886783915 0.70325819304683 0 0.650318994124906
"zombies" 1.06331833943425 1.07092025560482 0.635106654511689 0.795406275834588 0.683795625161148 0.538108147219541 0.874926212978189 0.790497693206522 0.71256387942056 0.650318994124906 0
